,NodeA,NodeB
0,0,6191
1,0,9570
2,0,4276
3,0,7585
4,0,4909
5,0,5120
6,0,4140
7,0,7708
8,0,6583
9,0,1026
10,1,7435
11,1,4878
12,1,2137
13,1,2775
14,1,9579
15,1,5265
16,1,6768
17,1,7644
18,1,8911
19,1,2463
20,2,5634
21,2,9434
22,2,9432
23,2,3181
24,2,3152
25,2,9522
26,2,1646
27,2,2316
28,2,3770
29,2,2618
30,3,5271
31,3,3992
32,3,4320
33,3,5403
34,3,6501
35,3,144
36,3,2666
37,3,4816
38,3,7126
39,3,5826
40,4,1765
41,4,1850
42,4,3372
43,4,1217
44,4,4905
45,4,8478
46,4,357
47,4,7515
48,4,7047
49,4,4348
50,5,74
51,5,7389
52,5,8243
53,5,3767
54,5,5845
55,5,9373
56,5,5037
57,5,394
58,5,3716
59,5,3966
60,6,8908
61,6,6820
62,6,8238
63,6,2729
64,6,8988
65,6,4813
66,6,7931
67,6,7341
68,6,9148
69,6,5268
70,7,3089
71,7,5379
72,7,732
73,7,9176
74,7,809
75,7,2507
76,7,1068
77,7,5637
78,7,4515
79,7,409
80,8,674
81,8,9467
82,8,3666
83,8,2554
84,8,1214
85,8,8944
86,8,6714
87,8,4933
88,8,9500
89,8,6512
90,9,312
91,9,2932
92,9,90
93,9,5576
94,9,2418
95,9,1062
96,9,5581
97,9,5561
98,9,9044
99,9,8975
100,10,3146
101,10,3279
102,10,6383
103,10,3850
104,10,7852
105,10,3703
106,10,787
107,10,164
108,10,3649
109,10,1752
110,11,5891
111,11,7514
112,11,8920
113,11,4654
114,11,3993
115,11,7903
116,11,3865
117,11,8326
118,11,1267
119,11,649
120,12,1405
121,12,144
122,12,9244
123,12,7827
124,12,5245
125,12,2662
126,12,3670
127,12,5261
128,12,5286
129,12,3888
130,13,2911
131,13,4508
132,13,2437
133,13,336
134,13,7426
135,13,5121
136,13,9395
137,13,849
138,13,5079
139,13,8480
140,14,9093
141,14,3660
142,14,8231
143,14,8863
144,14,7710
145,14,2389
146,14,3452
147,14,6780
148,14,5320
149,14,1123
150,15,3485
151,15,9247
152,15,5364
153,15,6347
154,15,2850
155,15,340
156,15,2294
