,NodeA,NodeB
0,0,6191
1,0,9570
2,0,4276
3,0,7585
4,0,4909
5,0,5120
6,0,4140
7,0,7708
8,0,6583
9,0,1026
10,1,7435
11,1,4878
12,1,2137
13,1,2775
14,1,9579
15,1,5265
16,1,6768
17,1,7644
18,2,5634
19,2,9434
20,2,9432
21,2,3181
22,2,3152
23,2,9522
24,2,1646
25,2,2316
26,2,3770
27,2,2618
28,3,5271
29,3,3992
30,3,4320
31,3,5403
32,3,6501
33,3,144
34,3,2666
35,3,4816
36,4,1765
37,4,1850
38,4,3372
39,4,1217
40,4,4905
41,4,8478
42,4,357
43,4,7515
44,5,74
45,5,7389
46,5,8243
47,5,3767
48,5,5845
49,5,9373
50,5,5037
51,5,394
52,5,3716
53,6,8908
54,6,6820
55,6,8238
56,6,2729
57,6,8988
58,6,4813
59,6,7931
60,6,7341
61,6,9148
62,6,5268
63,7,3089
64,7,5379
65,7,732
66,7,9176
67,7,809
68,7,2507
69,7,1068
70,7,5637
71,7,4515
72,7,409
73,8,674
74,8,9467
75,8,3666
76,8,2554
77,8,1214
78,8,8944
79,8,6714
80,8,4933
81,8,9500
82,9,312
83,9,2932
84,9,90
85,9,5576
86,9,2418
87,9,1062
88,9,5581
89,10,3146
90,10,3279
91,10,6383
92,10,3850
93,10,7852
94,10,3703
95,10,787
96,10,164
97,11,5891
98,11,7514
99,11,8920
100,11,4654
101,11,3993
102,11,7903
103,11,3865
104,11,8326
105,12,1405
106,12,144
107,12,9244
108,12,7827
109,12,5245
110,12,2662
111,12,3670
112,12,5261
113,12,5286
114,13,2911
115,13,4508
116,13,2437
117,13,336
118,13,7426
119,13,5121
120,13,9395
121,13,849
122,14,9093
123,14,3660
124,14,8231
125,14,8863
126,14,7710
127,14,2389
128,14,3452
129,14,6780
130,14,5320
131,14,1123
132,15,3485
133,15,9247
134,15,5364
135,15,6347
136,15,2850
137,15,340
138,15,2294
139,16,5931
140,16,5254
141,16,2616
142,16,8350
143,16,8772
144,16,9086
145,16,6308
146,16,6965
147,16,7126
148,17,8668
149,17,8136
150,17,9089
151,17,478
152,17,8111
153,17,8263
154,17,1084
155,17,988
156,17,4512
