,label
0,0
1,2
2,3
3,2
4,1
5,3
6,0
7,3
8,3
9,2
10,1
11,1
12,0
13,1
14,1
15,1
16,0
17,1
18,0
19,1
20,2
21,3
22,2
23,2
24,3
25,1
26,0
27,2
28,1
29,1
30,0
31,3
32,3
33,1
34,2
35,3
36,0
37,3
38,3
39,3
40,2
41,3
42,2
43,3
44,3
45,1
46,0
47,2
48,1
49,3
50,0
51,0
52,1
53,3
54,0
55,0
56,2
57,0
58,0
59,3
60,0
61,0
62,3
63,0
64,0
65,2
66,1
67,2
68,3
69,1
70,1
71,0
72,0
73,2
74,3
75,3
76,1
77,1
78,0
79,3
80,3
81,1
82,0
83,1
84,2
85,0
86,2
87,2
88,3
89,0
90,2
91,3
92,3
93,2
94,0
95,1
96,1
97,3
98,0
99,3
100,3
101,1
102,1
103,1
104,0
105,1
106,2
107,1
108,1
109,2
110,1
111,3
112,1
113,2
114,0
115,3
116,3
117,3
118,3
119,0
120,3
121,3
122,0
123,1
124,2
125,0
126,0
127,2
128,3
129,3
130,0
131,1
132,1
133,1
134,0
135,0
136,3
137,3
138,1
139,2
140,1
141,3
142,2
143,1
144,2
145,3
146,0
147,3
148,0
149,1
150,2
151,2
152,1
153,1
154,2
155,2
156,0
157,0
158,3
159,2
160,1
161,3
162,0
163,0
164,2
165,3
166,0
167,0
168,3
169,2
170,3
171,1
172,0
173,2
174,0
175,1
176,2
177,1
178,3
179,2
180,2
181,0
182,3
183,0
184,2
185,0
186,1
187,3
188,2
189,0
190,0
191,3
192,3
193,2
194,3
195,3
196,3
197,2
198,2
199,0
200,2
201,0
202,0
203,2
204,0
205,0
206,1
207,2
208,3
209,3
210,3
211,3
212,0
213,0
214,1
215,0
216,0
217,1
218,0
219,3
220,0
221,1
222,1
223,0
224,0
225,3
226,2
227,2
228,0
229,3
230,2
231,1
232,3
233,0
234,2
235,3
236,0
237,0
238,3
239,1
240,0
241,2
242,1
243,1
244,0
245,0
246,3
247,0
248,1
249,1
250,2
251,2
252,0
253,3
254,2
255,1
256,2
257,3
258,3
259,1
260,3
261,3
262,1
263,1
264,1
265,0
266,2
267,2
268,2
269,0
270,1
271,3
272,0
273,0
274,1
275,1
276,1
277,3
278,1
279,0
280,1
281,3
282,0
283,2
284,2
285,1
286,3
287,0
288,3
289,1
290,3
291,1
292,0
293,3
294,0
295,3
296,0
297,3
298,0
299,3
300,0
301,1
302,3
303,1
304,3
305,0
306,2
307,2
308,0
309,1
310,0
311,0
312,2
313,1
314,3
315,3
316,0
317,3
318,3
319,1
320,3
321,3
322,0
323,0
324,1
325,0
326,1
327,2
328,0
329,0
330,0
331,0
332,0
333,3
334,0
335,0
336,0
337,0
338,3
339,0
340,2
341,0
342,1
343,3
344,1
345,0
346,0
347,1
348,0
349,3
350,1
351,0
352,3
353,2
354,0
355,0
356,0
357,1
358,2
359,3
360,1
361,1
362,3
363,3
364,1
365,1
366,3
367,2
368,0
369,0
370,1
371,3
372,3
373,0
374,0
375,2
376,0
377,0
378,0
379,3
380,0
381,1
382,0
383,1
384,1
385,3
386,1
387,3
388,1
389,0
390,2
391,0
392,0
393,3
394,0
395,0
396,1
397,1
398,1
399,3
400,1
401,3
402,3
403,3
404,0
405,1
406,2
407,3
408,0
409,3
410,3
411,0
412,2
413,0
414,1
415,2
416,0
417,0
418,2
419,0
420,3
421,1
422,3
423,0
424,2
425,1
426,2
427,1
428,3
429,0
430,2
431,1
432,3
433,0
434,0
435,1
436,1
437,3
438,0
439,0
440,3
441,0
442,3
443,3
444,2
445,0
446,2
447,1
448,0
449,0
450,3
451,0
452,1
453,0
454,1
455,1
456,3
457,3
458,0
459,1
460,1
461,0
462,3
463,1
464,1
465,1
466,0
467,3
468,3
469,0
470,2
471,3
472,0
473,3
474,3
475,1
476,3
477,1
478,1
479,3
480,1
481,3
482,2
483,1
484,0
485,0
486,1
487,2
488,0
489,3
490,3
491,3
492,1
493,3
494,1
495,0
496,1
497,3
498,2
499,0
500,3
501,3
502,1
503,1
504,2
505,0
506,3
507,1
508,3
509,0
510,3
511,2
512,3
513,3
514,3
515,0
516,0
517,0
518,0
519,3
520,3
521,1
522,0
523,3
524,0
525,1
526,1
527,3
528,1
529,1
530,1
531,3
532,1
533,0
534,0
535,3
536,3
537,3
538,0
539,0
540,1
541,0
542,0
543,3
544,1
545,1
546,2
547,2
548,1
549,0
550,2
551,0
552,0
553,3
554,1
555,0
556,1
557,2
558,2
559,1
560,0
561,1
562,0
563,3
564,1
565,3
566,1
567,1
568,0
569,3
570,3
571,0
572,0
573,1
574,1
575,1
576,3
577,3
578,0
579,3
580,1
581,3
582,1
583,1
584,3
585,3
586,1
587,3
588,3
589,3
590,3
591,1
592,1
593,0
594,3
595,2
596,1
597,3
598,3
599,3
600,2
601,1
602,3
603,3
604,0
605,0
606,3
607,0
608,2
609,2
610,0
611,1
612,1
613,1
614,3
615,0
616,1
617,1
618,0
619,3
620,1
621,3
622,3
623,3
624,0
625,3
626,3
627,3
628,2
629,1
630,0
631,0
632,2
633,2
634,1
635,2
636,3
637,3
638,0
639,2
640,3
641,0
642,1
643,2
644,0
645,1
646,1
647,0
648,3
649,3
650,3
651,1
652,3
653,3
654,1
655,3
656,2
657,1
658,1
659,0
660,3
661,2
662,0
663,2
664,3
665,3
666,2
667,0
668,0
669,3
670,3
671,0
672,3
673,2
674,1
675,0
676,2
677,3
678,3
679,1
680,1
681,2
682,1
683,0
684,1
685,2
686,3
687,2
688,0
689,2
690,2
691,0
692,1
693,0
694,3
695,3
696,0
697,1
698,1
699,0
700,1
701,3
702,3
703,1
704,1
705,2
706,2
707,2
708,0
709,3
710,0
711,2
712,0
713,3
714,2
715,3
716,3
717,0
718,2
719,0
720,1
721,2
722,0
723,1
724,3
725,1
726,2
727,1
728,3
729,1
730,2
731,3
732,2
733,0
734,0
735,1
736,0
737,3
738,3
739,0
740,3
741,3
742,0
743,2
744,3
745,1
746,3
747,1
748,3
749,1
750,0
751,3
752,0
753,0
754,3
755,1
756,0
757,2
758,2
759,1
760,3
761,3
762,2
763,1
764,0
765,0
766,0
767,3
768,0
769,2
770,1
771,3
772,3
773,1
774,1
775,2
776,1
777,2
778,1
779,3
780,0
781,3
782,3
783,2
784,3
785,1
786,0
787,3
788,1
789,3
790,3
791,3
792,2
793,3
794,2
795,1
796,1
797,0
798,0
799,0
800,1
801,2
802,0
803,2
804,0
805,2
806,1
807,0
808,1
809,0
810,2
811,2
812,0
813,1
814,1
815,1
816,3
817,2
818,0
819,0
820,1
821,0
822,0
823,3
824,3
825,3
826,3
827,3
828,3
829,2
830,0
831,1
832,2
833,0
834,3
835,1
836,3
837,0
838,3
839,2
840,2
841,3
842,2
843,3
844,2
845,0
846,3
847,1
848,0
849,3
850,3
851,2
852,0
853,1
854,1
855,0
856,1
857,2
858,2
859,2
860,2
861,2
862,2
863,0
864,1
865,3
866,0
867,1
868,2
869,2
870,2
871,1
872,0
873,0
874,1
875,1
876,1
877,2
878,1
879,0
880,0
881,0
882,3
883,3
884,1
885,1
886,3
887,2
888,1
889,1
890,3
891,3
892,3
893,0
894,2
895,1
896,1
897,1
898,3
899,0
900,1
901,2
902,3
903,1
904,0
905,1
906,3
907,1
908,2
909,2
910,2
911,3
912,2
913,2
914,0
915,0
916,1
917,0
918,0
919,1
920,1
921,0
922,0
923,0
924,2
925,0
926,1
927,2
928,2
929,3
930,1
931,2
932,1
933,3
934,0
935,0
936,0
937,3
938,3
939,3
940,0
941,2
942,0
943,1
944,1
945,2
946,1
947,2
948,0
949,1
950,1
951,1
952,1
953,0
954,1
955,1
956,1
957,3
958,1
959,3
960,0
961,0
962,3
963,0
964,1
965,2
966,0
967,0
968,1
969,1
970,2
971,3
972,2
973,0
974,1
975,2
976,0
977,0
978,0
979,0
980,3
981,3
982,3
983,0
984,2
985,2
986,2
987,3
988,2
989,2
990,1
991,1
992,0
993,3
994,0
995,3
996,1
997,2
998,2
999,2
1000,3
1001,3
1002,2
1003,1
1004,1
1005,0
1006,2
1007,1
1008,2
1009,3
1010,3
1011,3
1012,2
1013,1
1014,3
1015,3
1016,0
1017,1
1018,3
1019,0
1020,1
1021,1
1022,3
1023,1
1024,1
1025,3
1026,2
1027,1
1028,0
1029,3
1030,3
1031,1
1032,1
1033,1
1034,1
1035,1
1036,2
1037,0
1038,0
1039,1
1040,1
1041,0
1042,0
1043,3
1044,3
1045,1
1046,0
1047,3
1048,0
1049,1
1050,2
1051,2
1052,3
1053,3
1054,2
1055,2
1056,3
1057,3
1058,3
1059,3
1060,1
1061,3
1062,2
1063,0
1064,2
1065,1
1066,0
1067,3
1068,2
1069,2
1070,0
1071,0
1072,3
1073,1
1074,1
1075,1
1076,2
1077,1
1078,1
1079,2
1080,0
1081,1
1082,1
1083,2
1084,3
1085,2
1086,3
1087,2
1088,2
1089,0
1090,0
1091,2
1092,3
1093,2
1094,3
1095,2
1096,0
1097,1
1098,1
1099,2
1100,3
1101,2
1102,0
1103,3
1104,2
1105,3
1106,2
1107,1
1108,2
1109,2
1110,2
1111,3
1112,1
1113,2
1114,2
1115,0
1116,0
1117,0
1118,0
1119,1
1120,1
1121,3
1122,1
1123,0
1124,3
1125,0
1126,3
1127,2
1128,3
1129,0
1130,0
1131,3
1132,0
1133,1
1134,1
1135,3
1136,1
1137,0
1138,3
1139,1
1140,3
1141,3
1142,3
1143,1
1144,2
1145,2
1146,1
1147,1
1148,0
1149,3
1150,0
1151,3
1152,3
1153,1
1154,3
1155,0
1156,1
1157,2
1158,3
1159,3
1160,2
1161,0
1162,0
1163,2
1164,0
1165,1
1166,1
1167,0
1168,1
1169,3
1170,3
1171,1
1172,1
1173,3
1174,2
1175,2
1176,3
1177,1
1178,0
1179,0
1180,3
1181,3
1182,2
1183,2
1184,3
1185,1
1186,2
1187,0
1188,2
1189,3
1190,1
1191,3
1192,0
1193,0
1194,3
1195,0
1196,1
1197,3
1198,3
1199,1
1200,1
1201,0
1202,3
1203,2
1204,2
1205,2
1206,2
1207,1
1208,2
1209,0
1210,2
1211,2
1212,1
1213,2
1214,3
1215,0
1216,1
1217,3
1218,1
1219,1
1220,3
1221,3
1222,0
1223,1
1224,1
1225,3
1226,0
1227,1
1228,3
1229,0
1230,2
1231,1
1232,0
1233,1
1234,2
